"ts","type","path","sessionId","elementTag","elementId","elementText","referrer","userAgent","ipHash"
"12/03/2026 08:24:54","page_view","/legal","1773303885091-wx9g8lik19","","","","https://pavillon46.ch/legal","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36","adfc69220090ed2c4755011a5358f80acd912a4ae9c32b306aa7c0561bc4ea60"
"12/03/2026 08:24:53","click","/","1773303885091-wx9g8lik19","a","","Mentions légales","https://pavillon46.ch/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36","adfc69220090ed2c4755011a5358f80acd912a4ae9c32b306aa7c0561bc4ea60"
"12/03/2026 08:24:51","click","/","1773303885091-wx9g8lik19","button","","FR","https://pavillon46.ch/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36","adfc69220090ed2c4755011a5358f80acd912a4ae9c32b306aa7c0561bc4ea60"
"12/03/2026 08:24:48","click","/","1773303885091-wx9g8lik19","button","","EN","https://pavillon46.ch/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36","adfc69220090ed2c4755011a5358f80acd912a4ae9c32b306aa7c0561bc4ea60"
"12/03/2026 08:24:45","page_view","/","1773303885091-wx9g8lik19","","","","https://pavillon46.ch/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36","adfc69220090ed2c4755011a5358f80acd912a4ae9c32b306aa7c0561bc4ea60"
"12/03/2026 08:23:37","click","/","1773302104643-gqwguypy4p","a","","","https://pavillon46.ch/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0","1494eb8ceeb30c28eee2d755ea0ab632db1edadf67a27803256183ec2229d70e"
"12/03/2026 08:23:32","page_view","/","1773302104643-gqwguypy4p","","","","https://pavillon46.ch/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0","1494eb8ceeb30c28eee2d755ea0ab632db1edadf67a27803256183ec2229d70e"
"12/03/2026 08:19:04","page_view","/","1773303544345-w4lvycj395","","","","https://pavillon46.ch/","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Mobile/15E148 Safari/604.1","c3b44902a6857daa8d248026b4221497d51f1b905c9d95441e3de6804ff37e3a"
"12/03/2026 08:11:57","page_view","/","1773302345939-nm7tpcih23","","","","https://www.pavillon46.ch/","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/23D127 Instagram 410.1.0.36.70 (iPhone17,4; iOS 26_3; fr_FR; fr; scale=3.00; 1290x2796; IABMV/1; 849447290) NW/1 Safari/604.1","1fa483f3aec2b9f0036e167459abbdd4b989f1ebc4ccb294d381dc98086dd3f3"
"12/03/2026 08:00:51","page_view","/","1773302345939-nm7tpcih23","","","","https://www.pavillon46.ch/","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/23D127 Instagram 410.1.0.36.70 (iPhone17,4; iOS 26_3; fr_FR; fr; scale=3.00; 1290x2796; IABMV/1; 849447290) Safari/604.1","0286b4117e7ab46329dab6a5efb2ab3296a4e3ceebc75b20f780fa8677e3fdbe"
"12/03/2026 08:00:51","click","/privacy","1773302345939-nm7tpcih23","a","","","https://www.pavillon46.ch/privacy","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/23D127 Instagram 410.1.0.36.70 (iPhone17,4; iOS 26_3; fr_FR; fr; scale=3.00; 1290x2796; IABMV/1; 849447290) Safari/604.1","0286b4117e7ab46329dab6a5efb2ab3296a4e3ceebc75b20f780fa8677e3fdbe"
"12/03/2026 08:00:08","page_view","/privacy","1773302345939-nm7tpcih23","","","","https://www.pavillon46.ch/privacy","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/23D127 Instagram 410.1.0.36.70 (iPhone17,4; iOS 26_3; fr_FR; fr; scale=3.00; 1290x2796; IABMV/1; 849447290) Safari/604.1","0286b4117e7ab46329dab6a5efb2ab3296a4e3ceebc75b20f780fa8677e3fdbe"
"12/03/2026 08:00:08","page_view","/privacy","1773302345939-nm7tpcih23","","","","https://www.pavillon46.ch/privacy","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/23D127 Instagram 410.1.0.36.70 (iPhone17,4; iOS 26_3; fr_FR; fr; scale=3.00; 1290x2796; IABMV/1; 849447290) Safari/604.1","0286b4117e7ab46329dab6a5efb2ab3296a4e3ceebc75b20f780fa8677e3fdbe"
"12/03/2026 08:00:08","click","/legal","1773302345939-nm7tpcih23","a","","Politique de confidentialité","https://www.pavillon46.ch/legal","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/23D127 Instagram 410.1.0.36.70 (iPhone17,4; iOS 26_3; fr_FR; fr; scale=3.00; 1290x2796; IABMV/1; 849447290) Safari/604.1","0286b4117e7ab46329dab6a5efb2ab3296a4e3ceebc75b20f780fa8677e3fdbe"
"12/03/2026 07:59:15","page_view","/legal","1773302345939-nm7tpcih23","","","","https://www.pavillon46.ch/legal","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/23D127 Instagram 410.1.0.36.70 (iPhone17,4; iOS 26_3; fr_FR; fr; scale=3.00; 1290x2796; IABMV/1; 849447290) Safari/604.1","0286b4117e7ab46329dab6a5efb2ab3296a4e3ceebc75b20f780fa8677e3fdbe"
"12/03/2026 07:59:15","click","/","1773302345939-nm7tpcih23","a","","Mentions légales","https://www.pavillon46.ch/?utm_source=ig&utm_medium=social&utm_content=link_in_bio&fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQPMTI0MDI0NTc0Mjg3NDE0AAGnb1xSN56TtLBYtWvbivis2v_pHhkMf1sI6jYkN7e7dxcFOalBbbSWSqcxCaI_aem_uAesCFeLwAlCgMXb9lUoeg","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/23D127 Instagram 410.1.0.36.70 (iPhone17,4; iOS 26_3; fr_FR; fr; scale=3.00; 1290x2796; IABMV/1; 849447290) Safari/604.1","0286b4117e7ab46329dab6a5efb2ab3296a4e3ceebc75b20f780fa8677e3fdbe"
"12/03/2026 07:59:05","page_view","/","1773302345939-nm7tpcih23","","","","https://www.pavillon46.ch/?utm_source=ig&utm_medium=social&utm_content=link_in_bio&fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQPMTI0MDI0NTc0Mjg3NDE0AAGnb1xSN56TtLBYtWvbivis2v_pHhkMf1sI6jYkN7e7dxcFOalBbbSWSqcxCaI_aem_uAesCFeLwAlCgMXb9lUoeg","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/23D127 Instagram 410.1.0.36.70 (iPhone17,4; iOS 26_3; fr_FR; fr; scale=3.00; 1290x2796; IABMV/1; 849447290) Safari/604.1","0286b4117e7ab46329dab6a5efb2ab3296a4e3ceebc75b20f780fa8677e3fdbe"
"12/03/2026 07:59:05","page_view","/","1773302345939-nm7tpcih23","","","","https://www.pavillon46.ch/?utm_source=ig&utm_medium=social&utm_content=link_in_bio&fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQPMTI0MDI0NTc0Mjg3NDE0AAGnb1xSN56TtLBYtWvbivis2v_pHhkMf1sI6jYkN7e7dxcFOalBbbSWSqcxCaI_aem_uAesCFeLwAlCgMXb9lUoeg","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/23D127 Instagram 410.1.0.36.70 (iPhone17,4; iOS 26_3; fr_FR; fr; scale=3.00; 1290x2796; IABMV/1; 849447290) Safari/604.1","0286b4117e7ab46329dab6a5efb2ab3296a4e3ceebc75b20f780fa8677e3fdbe"
"12/03/2026 07:55:36","click","/","1773302104643-gqwguypy4p","a","","","https://pavillon46.ch/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0","a5fe9f59af6d3a86cdc988f54225072a79bf272d24be34374e98342eca8f150a"
"12/03/2026 07:55:33","click","/","1773302104643-gqwguypy4p","a","","","https://pavillon46.ch/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0","a5fe9f59af6d3a86cdc988f54225072a79bf272d24be34374e98342eca8f150a"
"12/03/2026 07:55:22","page_view","/","1773302104643-gqwguypy4p","","","","https://pavillon46.ch/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0","a5fe9f59af6d3a86cdc988f54225072a79bf272d24be34374e98342eca8f150a"
"12/03/2026 07:55:22","click","/waitlist","1773302104643-gqwguypy4p","a","","","https://pavillon46.ch/waitlist","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0","a5fe9f59af6d3a86cdc988f54225072a79bf272d24be34374e98342eca8f150a"
"12/03/2026 07:55:11","page_view","/waitlist","1773302104643-gqwguypy4p","","","","https://pavillon46.ch/waitlist","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0","a5fe9f59af6d3a86cdc988f54225072a79bf272d24be34374e98342eca8f150a"
"12/03/2026 07:55:11","page_view","/waitlist","1773302104643-gqwguypy4p","","","","https://pavillon46.ch/waitlist","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0","a5fe9f59af6d3a86cdc988f54225072a79bf272d24be34374e98342eca8f150a"
"12/03/2026 07:55:10","click","/","1773302104643-gqwguypy4p","button","","Rejoindre la liste d'attente","https://pavillon46.ch/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0","a5fe9f59af6d3a86cdc988f54225072a79bf272d24be34374e98342eca8f150a"
"12/03/2026 07:55:04","page_view","/","1773302104643-gqwguypy4p","","","","https://pavillon46.ch/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0","a5fe9f59af6d3a86cdc988f54225072a79bf272d24be34374e98342eca8f150a"
"12/03/2026 07:54:45","page_view","/","1773302085584-jrvc2dzmxq","","","","https://pavillon46.ch/","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/23D8133 Instagram 419.0.0.27.74 (iPhone14,2; iOS 26_3_1; fr_FR; fr; scale=3.00; 1170x2532; IABMV/1; 895010607) Safari/604.1","97a4c016e6710fb739016c5b1d328a403d2bc1446b823693ef39497111bf866a"
